"State","Year","Total_Fatalities","State_Name","Latitude","Longitude","Population_M","Fatality_Rate_Per_100k","Color_Hex"
"NSW",2023,340,"New South Wales",-32.7,147.5,8.2,4.146341463414634,"#1a9850"
"NSW",2024,327,"New South Wales",-32.7,147.5,8.2,3.987804878048781,"#1a9850"
"QLD",2024,302,"Queensland",-22,145,5.2,5.8076923076923075,"#1a9850"
"QLD",2022,295,"Queensland",-22,145,5.2,5.6730769230769225,"#1a9850"
"VIC",2023,295,"Victoria",-37,145,6.6,4.46969696969697,"#1a9850"
"NSW",2020,284,"New South Wales",-32.7,147.5,8.2,3.4634146341463423,"#1a9850"
"VIC",2024,284,"Victoria",-37,145,6.6,4.303030303030304,"#1a9850"
"NSW",2022,281,"New South Wales",-32.7,147.5,8.2,3.4268292682926838,"#1a9850"
"QLD",2020,278,"Queensland",-22,145,5.2,5.346153846153846,"#1a9850"
"QLD",2021,277,"Queensland",-22,145,5.2,5.326923076923077,"#1a9850"
"NSW",2021,275,"New South Wales",-32.7,147.5,8.2,3.353658536585366,"#1a9850"
"QLD",2023,274,"Queensland",-22,145,5.2,5.269230769230769,"#1a9850"
"NSW",2025,270,"New South Wales",-32.7,147.5,8.2,3.292682926829268,"#1a9850"
"VIC",2022,240,"Victoria",-37,145,6.6,3.6363636363636362,"#1a9850"
"VIC",2021,231,"Victoria",-37,145,6.6,3.4999999999999996,"#1a9850"
"QLD",2025,227,"Queensland",-22,145,5.2,4.365384615384615,"#1a9850"
"VIC",2025,220,"Victoria",-37,145,6.6,3.3333333333333335,"#1a9850"
"VIC",2020,211,"Victoria",-37,145,6.6,3.1969696969696972,"#1a9850"
"WA",2024,188,"Western Australia",-25,120,2.7,6.962962962962962,"#1a9850"
"WA",2022,175,"Western Australia",-25,120,2.7,6.481481481481482,"#1a9850"
"WA",2021,166,"Western Australia",-25,120,2.7,6.148148148148148,"#1a9850"
"WA",2023,158,"Western Australia",-25,120,2.7,5.851851851851851,"#1a9850"
"WA",2020,155,"Western Australia",-25,120,2.7,5.7407407407407405,"#1a9850"
"WA",2025,141,"Western Australia",-25,120,2.7,5.222222222222222,"#1a9850"
"SA",2023,117,"South Australia",-30,135,1.9,6.157894736842105,"#1a9850"
"SA",2021,99,"South Australia",-30,135,1.9,5.2105263157894735,"#1a9850"
"SA",2020,93,"South Australia",-30,135,1.9,4.894736842105264,"#1a9850"
"SA",2024,89,"South Australia",-30,135,1.9,4.68421052631579,"#1a9850"
"SA",2022,71,"South Australia",-30,135,1.9,3.736842105263158,"#1a9850"
"SA",2025,64,"South Australia",-30,135,1.9,3.3684210526315788,"#1a9850"
"NT",2024,60,"Northern Territory",-12,131,0.25,24,"#8B0000"
"NT",2022,52,"Northern Territory",-12,131,0.25,20.799999999999997,"#8B0000"
"TAS",2022,50,"Tasmania",-42,147,0.6,8.333333333333334,"#91bfdb"
"TAS",2020,38,"Tasmania",-42,147,0.6,6.333333333333333,"#1a9850"
"NT",2021,35,"Northern Territory",-12,131,0.25,13.999999999999998,"#fee090"
"TAS",2021,35,"Tasmania",-42,147,0.6,5.833333333333333,"#1a9850"
"TAS",2025,35,"Tasmania",-42,147,0.6,5.833333333333333,"#1a9850"
"TAS",2023,32,"Tasmania",-42,147,0.6,5.333333333333333,"#1a9850"
"NT",2020,31,"Northern Territory",-12,131,0.25,12.4,"#fee090"
"NT",2023,31,"Northern Territory",-12,131,0.25,12.4,"#fee090"
"TAS",2024,31,"Tasmania",-42,147,0.6,5.166666666666667,"#1a9850"
"NT",2025,30,"Northern Territory",-12,131,0.25,12,"#fee090"
"ACT",2022,18,"Australian Capital Territory",-35.3,149.1,0.47,3.829787234042554,"#1a9850"
"ACT",2021,11,"Australian Capital Territory",-35.3,149.1,0.47,2.3404255319148937,"#1a9850"
"ACT",2024,11,"Australian Capital Territory",-35.3,149.1,0.47,2.3404255319148937,"#1a9850"
"ACT",2020,7,"Australian Capital Territory",-35.3,149.1,0.47,1.4893617021276597,"#1a9850"
"ACT",2023,4,"Australian Capital Territory",-35.3,149.1,0.47,0.8510638297872339,"#1a9850"
"ACT",2025,3,"Australian Capital Territory",-35.3,149.1,0.47,0.6382978723404257,"#1a9850"
