"YEAR","STATE","Total_Fines","State","Year","Total_Fatalities","Fines_Per_Fatality","YEAR (Right)","STATE (Right)","Population","Fatality_Rate_per_100k","Fines_per_Capita"
2021,"NSW",1636304,"NSW",2021,275,5950.1963636363635,2021,"NSW",8097062,3.396293618598944,0.20208613939228823
2022,"NSW",1435015,"NSW",2022,281,5106.814946619217,2022,"NSW",8182098,3.4343269904613707,0.17538472406465921
2022,"VIC",1405151,"VIC",2022,240,5854.795833333334,2022,"VIC",6615232,3.627990673645308,0.21241144679430743
2023,"VIC",1391859,"VIC",2023,295,4718.166101694916,2023,"VIC",6797169,4.34004215578574,0.204770397793552
2021,"VIC",1253576,"VIC",2021,231,5426.735930735931,2021,"VIC",6547822,3.527890648218598,0.1914493094039514
2024,"NSW",1157994,"NSW",2024,327,3541.266055045872,2024,"NSW",8492171,3.850605457662122,0.13636018398593244
2023,"NSW",1115630,"NSW",2023,340,3281.264705882353,2023,"NSW",8356387,4.0687440636724945,0.13350626293396894
2020,"NSW",1078761,"NSW",2020,284,3798.4542253521126,2020,"NSW",8110610,3.501586193886773,0.13300614873603836
2022,"QLD",1026965,"QLD",2022,295,3481.237288135593,2022,"QLD",5310905,5.554608866097209,0.1933691150566617
2021,"QLD",1007870,"QLD",2021,277,3638.5198555956677,2021,"QLD",5215814,5.310772201616086,0.19323350104125644
2023,"QLD",1006149,"QLD",2023,274,3672.0766423357663,2023,"QLD",5450235,5.027306162027876,0.1846065353145323
2020,"VIC",966180,"VIC",2020,211,4579.052132701422,2020,"VIC",6615046,3.1896981517588845,0.14605794124485302
2024,"QLD",934882,"QLD",2024,302,3095.635761589404,2024,"QLD",5571675,5.420273077665155,0.16779191176800512
2020,"QLD",921789,"QLD",2020,278,3315.7877697841727,2020,"QLD",5165613,5.381742689589793,0.17844716590267215
2024,"VIC",888839,"VIC",2024,284,3129.7147887323945,2024,"VIC",6950823,4.0858471004081105,0.12787536094646634
2022,"WA",852073,"WA",2022,175,4868.988571428571,2022,"WA",2793934,6.263569576088769,0.3049724868232392
2021,"WA",816309,"WA",2021,166,4917.524096385542,2021,"WA",2749365,6.037757809530564,0.2969081951650654
2023,"WA",814913,"WA",2023,158,5157.677215189873,2023,"WA",2890936,5.465357932517358,0.2818855208140201
2020,"WA",706279,"WA",2020,155,4556.63870967742,2020,"WA",2712912,5.713417906662657,0.2603398119806319
2024,"WA",480474,"WA",2024,188,2555.7127659574467,2024,"WA",2977910,6.313152513004087,0.1613460447092088
2023,"SA",219314,"SA",2023,117,1874.4786324786326,2023,"SA",1857646,6.298293646905815,0.11806016862200872
2021,"SA",210176,"SA",2021,99,2122.989898989899,2021,"SA",1802601,5.492063967566866,0.11659596327750844
2024,"SA",198326,"SA",2024,89,2228.38202247191,2024,"SA",1882175,4.728571997821669,0.10537064831909891
2022,"SA",193825,"SA",2022,71,2729.9295774647885,2022,"SA",1824969,3.8904770437196468,0.10620728352098036
2020,"SA",185497,"SA",2020,93,1994.5913978494623,2020,"SA",1790355,5.194500532017393,0.10360906077286348
2021,"ACT",114411,"ACT",2021,11,10401,2021,"ACT",452508,2.430896249348078,0.2528375188946936
2024,"ACT",96329,"ACT",2024,11,8757.181818181818,2024,"ACT",478448,2.2991004247065514,0.20133640437414307
2024,"TAS",82166,"TAS",2024,31,2650.516129032258,2024,"TAS",574746,5.393686950409398,0.14296054257010923
2023,"ACT",72584,"ACT",2023,4,18146,2023,"ACT",471340,0.848644290745534,0.1539949929986846
2023,"TAS",69772,"TAS",2023,32,2180.375,2023,"TAS",573731,5.577526750341188,0.12161099888275168
2020,"ACT",58567,"ACT",2020,7,8366.714285714286,2020,"ACT",444903,1.573376668622149,0.13163993050170486
2024,"NT",49714,"NT",2024,60,828.5666666666667,2024,"NT",260847,23.001989672106635,0.1905868190931849
2022,"TAS",45600,"TAS",2022,50,912,2022,"TAS",572300,8.736676568233444,0.079678490302289
2023,"NT",44666,"NT",2023,31,1440.8387096774193,2023,"NT",257508,12.038460941019308,0.1734548052876027
2020,"TAS",44049,"TAS",2020,38,1159.1842105263158,2020,"TAS",557578,6.815189982388114,0.07900060619321422
2020,"NT",43412,"NT",2020,31,1400.3870967741937,2020,"NT",247428,12.528897295374815,0.17545306109251985
2021,"TAS",42685,"TAS",2021,35,1219.5714285714287,2021,"TAS",567239,6.17023864720162,0.07525046761594319
2021,"NT",40080,"NT",2021,35,1145.142857142857,2021,"NT",248151,14.104315517567931,0.1615145616983208
2022,"NT",35110,"NT",2022,52,675.1923076923077,2022,"NT",253100,20.545239035954168,0.13871987356775978
2022,"ACT",415,"ACT",2022,18,23.055555555555557,2022,"ACT",461262,3.9023375001625973,0.0008997055903152655
